County,Year,Population,State,fips,Deaths,_merge,drug_mortality_per_capita
Henry County,2011.0,17377,AL,1067.0,227.0,both,0.013063244518616563
Houston County,2011.0,102509,AL,1069.0,966.0,both,0.009423562809119199
Jackson County,2011.0,53240,AL,1071.0,684.0,both,0.01284748309541698
Jefferson County,2011.0,658175,AL,1073.0,6833.0,both,0.010381737379876172
Lamar County,2011.0,14292,AL,1075.0,177.0,both,0.012384550797649035
Lauderdale County,2011.0,92615,AL,1077.0,1077.0,both,0.011628785833828214
Lawrence County,2011.0,34026,AL,1079.0,414.0,both,0.01216716628460589
Lee County,2011.0,144194,AL,1081.0,817.0,both,0.0056659777799353645
Limestone County,2011.0,85553,AL,1083.0,692.0,both,0.008088553294449055
Lowndes County,2011.0,11144,AL,1085.0,140.0,both,0.01256281407035176
Macon County,2011.0,21299,AL,1087.0,239.0,both,0.011221184093149913
Madison County,2011.0,339623,AL,1089.0,2593.0,both,0.007634936385344926
Marengo County,2011.0,20663,AL,1091.0,250.0,both,0.012098920776266757
Marion County,2011.0,30661,AL,1093.0,438.0,both,0.014285248361110205
Marshall County,2011.0,93899,AL,1095.0,1033.0,both,0.011001182121215348
Mobile County,2011.0,413126,AL,1097.0,4120.0,both,0.009972744392751849
Monroe County,2011.0,22799,AL,1099.0,256.0,both,0.011228562656256854
Montgomery County,2011.0,229218,AL,1101.0,1946.0,both,0.008489734663071836
Morgan County,2011.0,120058,AL,1103.0,1183.0,both,0.009853570774125839
Perry County,2011.0,10452,AL,1105.0,146.0,both,0.013968618446230386
Pickens County,2011.0,19357,AL,1107.0,258.0,both,0.013328511649532469
Pike County,2011.0,33031,AL,1109.0,303.0,both,0.009173200932457388
Randolph County,2011.0,22751,AL,1111.0,282.0,both,0.012395059557821634
Russell County,2011.0,54884,AL,1113.0,563.0,both,0.010257998688142264
St. Clair County,2011.0,83992,AL,1115.0,803.0,both,0.00956043432707877
Shelby County,2011.0,197968,AL,1117.0,1281.0,both,0.006470742746302433
Sumter County,2011.0,13491,AL,1119.0,158.0,both,0.011711511377955675
Talladega County,2011.0,81875,AL,1121.0,953.0,both,0.01163969465648855
Tallapoosa County,2011.0,41414,AL,1123.0,503.0,both,0.012145651229052977
Tuscaloosa County,2011.0,196788,AL,1125.0,1677.0,both,0.008521861089090798
Walker County,2011.0,66586,AL,1127.0,988.0,both,0.01483795392424834
Washington County,2011.0,17356,AL,1129.0,174.0,both,0.010025351463470845
Wilcox County,2011.0,11438,AL,1131.0,156.0,both,0.01363874803287288
Winston County,2011.0,24362,AL,1133.0,284.0,both,0.011657499384287005
Autauga County,2012.0,54970,AL,1001.0,508.0,both,0.00924140440240131
Baldwin County,2012.0,190203,AL,1003.0,1790.0,both,0.009410997723484908
Barbour County,2012.0,27172,AL,1005.0,270.0,both,0.009936699543647873
Bibb County,2012.0,22657,AL,1007.0,246.0,both,0.010857571611422518
Blount County,2012.0,57585,AL,1009.0,573.0,both,0.009950507944777285
Bullock County,2012.0,10610,AL,1011.0,99.0,both,0.009330819981149858
Butler County,2012.0,20672,AL,1013.0,278.0,both,0.01344814241486068
Calhoun County,2012.0,117227,AL,1015.0,1358.0,both,0.011584361964393868
Chambers County,2012.0,34088,AL,1017.0,490.0,both,0.014374559962450129
