,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
290,FL,Lake,2011,179071465.3870125,300547,12069.0,both,595.8185088755254
291,FL,Lake,2012,156520697.7751875,303806,12069.0,both,515.1994949908411
292,FL,Lake,2013,131946262.7842875,308088,12069.0,both,428.2745929224361
293,FL,Lake,2014,135035837.7508875,315493,12069.0,both,428.0153212619219
294,FL,Lee,2006,309886706.744275,565956,12071.0,both,547.545580830091
295,FL,Lee,2007,295673263.5694625,585264,12071.0,both,505.19639610408717
296,FL,Lee,2008,340668929.5272875,588709,12071.0,both,578.6711762981158
297,FL,Lee,2009,439929930.9884625,586908,12071.0,both,749.5722174317993
298,FL,Lee,2010,680132832.8028375,618754,12071.0,both,1099.1974723441585
299,FL,Lee,2011,587055726.8651625,631198,12071.0,both,930.0658856098443
300,FL,Lee,2012,272161035.700275,644451,12071.0,both,422.3145525420474
301,FL,Lee,2013,230207071.4342625,660197,12071.0,both,348.6945130533197
302,FL,Lee,2014,232331003.958825,677710,12071.0,both,342.81773023686384
303,FL,Leon,2006,43067639.041725,258104,12073.0,both,166.86157146625004
304,FL,Leon,2007,47083400.8203125,262720,12073.0,both,179.21513710533077
305,FL,Leon,2008,51120250.0932625,264597,12073.0,both,193.20041456729479
306,FL,Leon,2009,55928522.419125,265714,12073.0,both,210.48391285037673
307,FL,Leon,2010,56268735.998175,275487,12073.0,both,204.25187394750026
308,FL,Leon,2011,58086072.97545,278420,12073.0,both,208.62751589487107
309,FL,Leon,2012,61292559.1104375,283707,12073.0,both,216.0417582591811
310,FL,Leon,2013,64967949.102037504,282006,12073.0,both,230.37789657680156
311,FL,Leon,2014,65674171.0090875,283923,12073.0,both,231.30979529339822
312,FL,Levy,2006,18659653.543,38240,12075.0,both,487.96165122907956
313,FL,Levy,2007,22313800.503725,38830,12075.0,both,574.6536313089106
314,FL,Levy,2008,28379512.6129,39199,12075.0,both,723.985627513457
315,FL,Levy,2009,33730549.8909,39147,12075.0,both,861.6381814928347
316,FL,Levy,2010,36649652.3859,40801,12075.0,both,898.2537777480944
317,FL,Levy,2011,36064200.5815875,40165,12075.0,both,897.9011722043446
318,FL,Levy,2012,28221149.4318,39835,12075.0,both,708.4510965683444
319,FL,Levy,2013,22913388.682725,39449,12075.0,both,580.8357292383838
320,FL,Levy,2014,23927746.9425,39317,12075.0,both,608.5852669964646
321,FL,Liberty,2006,628449.8325,7729,12077.0,both,81.31062653642127
322,FL,Liberty,2007,738323.0205,7798,12077.0,both,94.68107469864067
323,FL,Liberty,2008,771974.0625,7966,12077.0,both,96.90861944514185
324,FL,Liberty,2009,686362.8,7983,12077.0,both,85.97805336339722
325,FL,Liberty,2010,1141644.3375,8365,12077.0,both,136.4787014345487
326,FL,Liberty,2011,821881.8,8266,12077.0,both,99.42920396806194
327,FL,Liberty,2012,764579.25,8304,12077.0,both,92.07360910404624
328,FL,Liberty,2013,677714.175,8360,12077.0,both,81.06628887559809
329,FL,Liberty,2014,676237.125,8419,12077.0,both,80.32273726095735
330,FL,Madison,2006,2315633.3313625003,18981,12079.0,both,121.99743592869187
331,FL,Madison,2007,2632527.3742250004,18977,12079.0,both,138.72199895794913
332,FL,Madison,2008,2793881.2853625,18961,12079.0,both,147.34883631467224
333,FL,Madison,2009,3389453.2243125,18901,12079.0,both,179.32666125138883
334,FL,Madison,2010,4027763.5125,19224,12079.0,both,209.51745279338328
335,FL,Madison,2011,4642083.6525,19134,12079.0,both,242.60915921919096
336,FL,Madison,2012,4504777.44,18973,12079.0,both,237.43095135192118
337,FL,Madison,2013,4419604.5825000005,18757,12079.0,both,235.62427800287895
338,FL,Madison,2014,4195258.32,18607,12079.0,both,225.46666953297148
339,FL,Manatee,2006,150205643.6956125,311553,12081.0,both,482.11907346619194
340,FL,Manatee,2007,172443214.15869,314027,12081.0,both,549.1349920824961
341,FL,Manatee,2008,196741843.14975,316059,12081.0,both,622.484546080795
342,FL,Manatee,2009,228282899.9302125,318361,12081.0,both,717.0567372580576
343,FL,Manatee,2010,360934683.90885,322833,12081.0,both,1118.0228908099543
344,FL,Manatee,2011,326820055.0758375,327619,12081.0,both,997.5613596153993
345,FL,Manatee,2012,219299738.61375,333965,12081.0,both,656.6548548912311
346,FL,Manatee,2013,165661594.3610625,342024,12081.0,both,484.35663684730457
347,FL,Manatee,2014,162965668.0010625,351080,12081.0,both,464.1838555345292
348,FL,Marion,2006,114208975.8543875,313964,12083.0,both,363.76455853023754
349,FL,Marion,2007,140167108.3894625,323032,12083.0,both,433.91090786504896
350,FL,Marion,2008,160020950.8733625,327172,12083.0,both,489.10344061644184
351,FL,Marion,2009,177998098.0790625,328547,12083.0,both,541.7736216707578
352,FL,Marion,2010,216686240.8516875,331298,12083.0,both,654.0523663037129
353,FL,Marion,2011,209503198.548825,332325,12083.0,both,630.4166058792597
354,FL,Marion,2012,175709775.3719625,333945,12083.0,both,526.1638155144185
355,FL,Marion,2013,148153828.1260875,335196,12083.0,both,441.99163512120515
356,FL,Marion,2014,152057413.5745125,338165,12083.0,both,449.654498763954
357,FL,Martin,2006,68573128.7873625,137740,12085.0,both,497.84469861596125
358,FL,Martin,2007,77097869.3673125,138865,12085.0,both,555.2001538711158
359,FL,Martin,2008,99157779.642725,139080,12085.0,both,712.9549873650058
360,FL,Martin,2009,121781256.5109,139794,12085.0,both,871.1479499184514
